"","phoneme","grapheme","wi","si","sm","sf","wf"
"1","æ","a",43,2,248,101,0
"2","æ","a_e",1,1,7,0,0
"3","æ","aha",0,0,0,0,0
"4","æ","ai",0,0,0,0,0
"5","æ","au",2,0,2,1,0
"6","æ","ea",0,0,0,1,0
"7","æ","eah",0,0,0,0,0
"8","æ","i_e",0,0,0,0,0
"9","ʌ","_e",0,0,7,0,0
"10","ʌ","a",0,0,2,0,0
"11","ʌ","au_e",0,0,1,0,0
"12","ʌ","o",5,0,14,22,0
"13","ʌ","o_e",0,0,19,0,0
"14","ʌ","oe",0,0,1,0,0
"15","ʌ","oo",0,0,2,1,0
"16","ʌ","ou",0,0,8,6,0
"17","ʌ","u",36,0,157,67,0
"18","ʌ","u_e",0,0,2,0,0
"19","ʌ","uh",0,0,0,0,0
"20","ɪ","a",0,0,0,0,0
"21","ɪ","a_e",0,1,8,0,0
"22","ɪ","e",15,0,30,47,0
"23","ɪ","e_e",0,0,1,0,0
"24","ɪ","ea",2,0,13,2,0
"25","ɪ","ee",0,0,6,0,0
"26","ɪ","ei",0,0,1,0,0
"27","ɪ","eo",0,0,0,0,0
"28","ɪ","hi",0,1,0,7,0
"29","ɪ","i",29,20,390,156,0
"30","ɪ","i_e",0,1,20,0,0
"31","ɪ","ia",0,0,0,0,0
"32","ɪ","ia_e",0,0,0,0,0
"33","ɪ","ie",0,0,0,0,0
"34","ɪ","ie_e",0,0,0,0,0
"35","ɪ","o",0,0,0,1,0
"36","ɪ","u",0,0,0,1,0
"37","ɪ","ui",0,0,4,1,0
"38","ɪ","y",0,0,3,3,0
"39","ɔɪ","awy",0,0,0,0,0
"40","ɔɪ","eu",0,0,0,0,0
"41","ɔɪ","oi",1,0,6,4,0
"42","ɔɪ","oi_e",0,0,3,0,0
"43","ɔɪ","oy",0,0,0,0,8
"44","ɔɪ","oy_e",0,0,0,0,0
"45","ɔɪ","oye",0,0,0,0,0
"46","ɚ","_e",0,0,1,0,0
"47","ɚ","a",0,1,22,0,0
"48","ɚ","a_e",0,0,0,0,0
"49","ɚ","au",0,0,1,0,0
"50","ɚ","e",0,21,295,0,0
"51","ɚ","e_e",0,0,3,0,0
